OTU,Transect,Plot,Depth,value,Sample
ASV_1,A,C,D,5.366230150239284,TE16SACD
ASV_1,E,C,A,4.461970949248911,TE16SECA
ASV_1,C,D,A,-0.1638617778380454,TE16SCDA
ASV_1,E,E,D,-0.1638617778380454,TE16SEED
ASV_1,A,E,A,8.014182156546914,TE16SAEA
ASV_1,E,C,B,4.628814235860032,TE16SECB
ASV_1,E,D,A,-0.1638617778380454,TE16SEDA
ASV_1,C,D,D,2.2097991274671114,TE16SCDD
ASV_1,E,E,C,-0.1638617778380454,TE16SEEC
ASV_1,E,E,B,-0.1638617778380454,TE16SEEB
ASV_1,B,E,A,-0.1638617778380454,TE16SBEA
ASV_1,E,C,D,3.3822817582574496,TE16SECD
ASV_1,C,E,B,-0.1638617778380454,TE16SCEB
ASV_1,D,E,D,-0.1638617778380454,TE16SDED
ASV_1,E,C,C,2.405624791281708,TE16SECC
ASV_1,C,E,A,-0.1638617778380454,TE16SCEA
ASV_1,B,E,B,-0.1638617778380454,TE16SBEB
ASV_1,A,D,A,4.506524536873574,TE16SADA
ASV_1,D,D,A,-0.1638617778380454,TE16SDDA
ASV_1,C,C,B,8.543992545637694,TE16SCCB
ASV_1,D,E,A,-0.1638617778380454,TE16SDEA
ASV_1,B,D,A,-0.1638617778380454,TE16SBDA
ASV_1,B,D,C,3.656741076903368,TE16SBDC
ASV_1,A,E,B,7.624090760352971,TE16SAEB
ASV_1,D,E,B,-0.1638617778380454,TE16SDEB
ASV_1,C,E,C,-0.1638617778380454,TE16SCEC
ASV_1,B,E,D,-0.1638617778380454,TE16SBED
ASV_1,C,C,C,7.824795583201625,TE16SCCC
ASV_1,C,C,D,8.171428741372111,TE16SCCD
ASV_1,C,D,C,-0.1638617778380454,TE16SCDC
ASV_1,A,C,C,-0.1638617778380454,TE16SACC
ASV_1,D,E,C,-0.1638617778380454,TE16SDEC
ASV_1,D,D,C,-0.1638617778380454,TE16SDDC
ASV_1,A,C,B,4.319941269898918,TE16SACB
ASV_1,B,C,C,2.3415640667457307,TE16SBCC
ASV_1,B,E,C,-0.1638617778380454,TE16SBEC
ASV_1,C,D,B,-0.1638617778380454,TE16SCDB
ASV_1,E,D,C,-0.1638617778380454,TE16SEDC
ASV_1,A,D,D,4.116461172183579,TE16SADD
ASV_1,E,D,B,-0.1638617778380454,TE16SEDB
ASV_1,D,D,D,-0.1638617778380454,TE16SDDD
ASV_1,B,D,D,-0.1638617778380454,TE16SBDD
ASV_1,E,E,A,-0.1638617778380454,TE16SEEA
ASV_1,A,D,B,7.951430941683495,TE16SADB
ASV_1,B,C,B,-0.1638617778380454,TE16SBCB
ASV_1,A,C,A,-0.1638617778380454,TE16SACA
ASV_1,D,C,B,-0.1638617778380454,TE16SDCB
ASV_1,D,C,D,-0.1638617778380454,TE16SDCD
ASV_1,D,C,C,2.7258214305898267,TE16SDCC
ASV_1,C,E,D,-0.1638617778380454,TE16SCED
ASV_1,A,D,C,5.056883877657521,TE16SADC
ASV_1,A,E,C,7.359444788480697,TE16SAEC
ASV_1,E,D,D,-0.1638617778380454,TE16SEDD
ASV_1,A,E,D,8.921036140873216,TE16SAED
ASV_1,D,D,B,-0.1638617778380454,TE16SDDB
ASV_1,B,C,D,-0.1638617778380454,TE16SBCD
ASV_1,B,D,B,3.584835914498618,TE16SBDB
ASV_1,B,C,A,-0.1638617778380454,TE16SBCA
ASV_5,A,C,D,7.676124906348687,TE16SACD
ASV_5,E,C,A,7.762064953193245,TE16SECA
ASV_5,C,D,A,12.769967913227298,TE16SCDA
ASV_5,E,E,D,-0.1638617778380454,TE16SEED
ASV_5,A,E,A,12.179957488432036,TE16SAEA
ASV_5,E,C,B,3.004936999558114,TE16SECB
ASV_5,E,D,A,6.631509137637009,TE16SEDA
ASV_5,C,D,D,5.768173123817452,TE16SCDD
ASV_5,E,E,C,1.307360995671566,TE16SEEC
ASV_5,E,E,B,-0.1638617778380454,TE16SEEB
ASV_5,B,E,A,12.59207940706186,TE16SBEA
ASV_5,E,C,D,-0.1638617778380454,TE16SECD
ASV_5,C,E,B,8.757836209665292,TE16SCEB
ASV_5,D,E,D,6.898868530076054,TE16SDED
ASV_5,E,C,C,3.8393371455058225,TE16SECC
ASV_5,C,E,A,10.850867051348056,TE16SCEA
ASV_5,B,E,B,8.858022714886694,TE16SBEB
ASV_5,A,D,A,11.967739447593576,TE16SADA
ASV_5,D,D,A,11.400337797191264,TE16SDDA
ASV_5,C,C,B,9.25118545205174,TE16SCCB
ASV_5,D,E,A,11.363118993774632,TE16SDEA
ASV_5,B,D,A,9.457355477474744,TE16SBDA
ASV_5,B,D,C,8.733752624205097,TE16SBDC
ASV_5,A,E,B,8.491166967379188,TE16SAEB
ASV_5,D,E,B,9.942666853737231,TE16SDEB
ASV_5,C,E,C,5.820934990873758,TE16SCEC
ASV_5,B,E,D,6.9573331913647305,TE16SBED
ASV_5,C,C,C,5.706652783032722,TE16SCCC
ASV_5,C,C,D,9.76004962125089,TE16SCCD
ASV_5,C,D,C,9.561588263400608,TE16SCDC
ASV_5,A,C,C,8.4445024822897,TE16SACC
ASV_5,D,E,C,6.349774668996058,TE16SDEC
ASV_5,D,D,C,7.915226442473674,TE16SDDC
ASV_5,A,C,B,3.3523675361204464,TE16SACB
ASV_5,B,C,C,6.467210854592181,TE16SBCC
ASV_5,B,E,C,7.357326329950899,TE16SBEC
ASV_5,C,D,B,9.219874688477786,TE16SCDB
ASV_5,E,D,C,6.6178043237169035,TE16SEDC
