pathway	ArcTE16SAAA_S94_R1_001.fastq.gz	ArcTE16SAAB_S95_R1_001.fastq.gz	ArcTE16SABA_S96_R1_001.fastq.gz	ArcTE16SABB_S97_R1_001.fastq.gz	ArcTE16SACA_S98_R1_001.fastq.gz	ArcTE16SACC_S99_R1_001.fastq.gz	ArcTE16SADA_S100_R1_001.fastq.gz	ArcTE16SADB_S101_R1_001.fastq.gz	ArcTE16SADC_S102_R1_001.fastq.gz	ArcTE16SADD_S103_R1_001.fastq.gz	ArcTE16SAEA_S104_R1_001.fastq.gz	ArcTE16SAEB_S105_R1_001.fastq.gz	ArcTE16SAEC_S106_R1_001.fastq.gz	ArcTE16SAED_S107_R1_001.fastq.gz	ArcTE16SBAA_S108_R1_001.fastq.gz	ArcTE16SBAB_S109_R1_001.fastq.gz	ArcTE16SBAC_S110_R1_001.fastq.gz	ArcTE16SBBA_S111_R1_001.fastq.gz	ArcTE16SBBB_S112_R1_001.fastq.gz	ArcTE16SBBC_S70_R1_001.fastq.gz	ArcTE16SBBD_S71_R1_001.fastq.gz	ArcTE16SBCA_S113_R1_001.fastq.gz	ArcTE16SBCC_S72_R1_001.fastq.gz	ArcTE16SBCD_S73_R1_001.fastq.gz	ArcTE16SBDA_S114_R1_001.fastq.gz	ArcTE16SBDB_S115_R1_001.fastq.gz	ArcTE16SBDC_S74_R1_001.fastq.gz	ArcTE16SBDD_S75_R1_001.fastq.gz	ArcTE16SBEA_S116_R1_001.fastq.gz	ArcTE16SBEB_S117_R1_001.fastq.gz	ArcTE16SBEC_S69_R1_001.fastq.gz	ArcTE16SBED_S77_R1_001.fastq.gz	ArcTE16SCAA_S119_R1_001.fastq.gz	ArcTE16SCAB_S120_R1_001.fastq.gz	ArcTE16SCAC_S121_R1_001.fastq.gz	ArcTE16SCBA_S122_R1_001.fastq.gz	ArcTE16SCBB_S123_R1_001.fastq.gz	ArcTE16SCCB_S124_R1_001.fastq.gz	ArcTE16SCCD_S125_R1_001.fastq.gz	ArcTE16SCDA_S126_R1_001.fastq.gz	ArcTE16SCDB_S127_R1_001.fastq.gz	ArcTE16SCDC_S128_R1_001.fastq.gz	ArcTE16SCEA_S84_R1_001.fastq.gz	ArcTE16SCEB_S85_R1_001.fastq.gz	ArcTE16SDAA_S86_R1_001.fastq.gz	ArcTE16SDAB_S87_R1_001.fastq.gz	ArcTE16SDAC_S76_R1_001.fastq.gz	ArcTE16SDBA_S88_R1_001.fastq.gz	ArcTE16SDBB_S89_R1_001.fastq.gz	ArcTE16SDBC_S90_R1_001.fastq.gz	ArcTE16SDBD_S66_R1_001.fastq.gz	ArcTE16SDCB_S91_R1_001.fastq.gz	ArcTE16SDCC_S67_R1_001.fastq.gz	ArcTE16SDCD_S68_R1_001.fastq.gz	ArcTE16SDDA_S92_R1_001.fastq.gz	ArcTE16SDDB_S129_R1_001.fastq.gz	ArcTE16SDEA_S130_R1_001.fastq.gz	ArcTE16SDEB_S131_R1_001.fastq.gz	ArcTE16SDEC_S78_R1_001.fastq.gz	ArcTE16SEAA_S132_R1_001.fastq.gz	ArcTE16SEAB_S133_R1_001.fastq.gz	ArcTE16SEAC_S134_R1_001.fastq.gz	ArcTE16SEAD_S135_R1_001.fastq.gz	ArcTE16SEBA_S136_R1_001.fastq.gz	ArcTE16SEBB_S137_R1_001.fastq.gz	ArcTE16SEBC_S79_R1_001.fastq.gz	ArcTE16SEBD_S80_R1_001.fastq.gz	ArcTE16SEDA_S81_R1_001.fastq.gz	ArcTE16SEDB_S138_R1_001.fastq.gz	ArcTE16SEDC_S82_R1_001.fastq.gz	ArcTE16SEEA_S139_R1_001.fastq.gz	ArcTE16SEEB_S140_R1_001.fastq.gz	ArcTE16SEED_S83_R1_001.fastq.gz	ArcTEBLANK1_S93_R1_001.fastq.gz	ArcTEBLANK2_S118_R1_001.fastq.gz	ArcTEBLANK3_S141_R1_001.fastq.gz
PWY-6263	0.0	0.0	33.24332527542596	0.0	29.751405416925053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	335.69975069850653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	233.44626711413252
PWY-6269	0.0	52.84942165848483	17.934945213770167	0.0	0.0	0.0	0.0	27.32680124954538	9.930345881400296	0.0	0.0	0.0	33.48620916108952	0.0	0.0	0.0	0.0	0.0	6.930531520942253	83.87281234176557	11.90622104087391	0.0	0.0	0.0	0.0	70.50937942575516	0.0	20.223074811326395	0.0	0.0	0.0	0.0	100.12737215606181	7.986304740082723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.841009306860116	0.0	0.0	0.0	0.0	17.9274903597597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.836392726247105	0.0	0.0	0.0	7.911268529692897	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6277	9850.428932997973	1739.8934364232286	6803.895360450636	4469.135203287005	5664.6163542222685	4756.393943009957	5749.401793480871	5059.75981219598	4958.241591865751	6525.4719123880095	6127.64239548385	7002.036318696269	5396.469564878369	4306.10055757178	7440.298118312293	4786.232362431628	5160.8475210576225	4138.686693552281	2078.327558010728	4878.89710823539	2845.609574539214	6377.596179190081	2551.0323741787442	4728.773497188783	3891.051139694472	3231.149682749223	3264.3002414711577	3097.6811847187932	7574.045191729094	6831.074535904736	7642.083921060877	1104.931557020556	6579.502132238652	8773.158640980297	9757.385724585436	6655.21415300105	8017.342707720015	3891.214834498936	2807.209381616881	2590.534086102153	1827.0770665360985	4912.370778733852	3847.540095301402	3911.382136696669	9377.354909199974	9255.628075765622	5102.670608498934	2479.784816022357	7222.744611179133	4288.6748056222605	4566.903691414351	1960.8759597636997	2995.615147586983	1824.5427067015273	3109.3799960965125	6009.536262947209	1995.758251535818	872.1921478060046	2325.299684542587	9516.643142157327	6839.9723904664515	9976.85917082474	8514.787584793172	8499.751819084799	8410.857590922718	5658.580878094123	669.1428571428572	1590.2949083244182	1430.2875112716379	1119.5917749406478	1201.094949278085	1359.566866406071	241.1428571428571	0.0	0.0	1447.8
PWY-6282	0.0	0.0	0.0	0.0	0.0	0.0	100.45593075704014	25.168539325842698	10.380450765981339	0.0	0.0	0.0	35.249927822153786	0.0	0.0	0.0	0.0	0.0	6.295768566493956	63.915736254476506	0.0	0.0	46.46175761901942	0.0	0.0	69.76481630262575	0.0	19.775238744884035	0.0	0.0	0.0	0.0	104.59229758581047	7.196483087068018	0.0	0.0	0.0	0.0	0.0	4.152404096511022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.657938642786615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.912757091006856	0.0	0.0	0.0	0.0	0.0	0.0	16.0828335479009	0.0	8.991457047935453	8.297271872060207	7.189269746646795	0.0	0.0	0.0	0.0	0.0	2033.1717399770894
PWY-6317	0.0	0.0	5.994114216537683	0.0	9.980162738451694	0.0	0.0	27.82966497378579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.976162699708109	84.33231331539362	11.914016626764184	0.0	19.437241519295664	0.0	0.0	57.151671217871055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.994413244186633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.87089513883311	0.0	0.0	0.0	0.0	0.0	0.0	125.78948797723554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.84479629303303	0.0	0.0	0.0	7.965060875986281	0.0	0.0	0.0	0.0	0.0	274.44642773745016
PWY-6349	7357.09089738044	1628.1477272727273	5695.425504792928	3900.726553204424	3374.145465082585	3659.835560921406	1697.702785380776	2367.636793470156	1867.8829003013627	3689.1984496259447	2247.3623664749384	3253.7058721169888	3219.090235688615	940.1333018199008	3482.3940115218484	1228.1020401106566	3770.634187243856	1498.524781179638	815.77135356898	4096.644038727889	2395.4869831403316	5512.7904457501045	1918.9914452949122	2536.0831098890376	3306.574890538867	2740.3735713498004	1467.5466130114019	595.5885947046843	6476.954550453642	5701.272199586497	4546.646763229261	676.9085320576759	5597.649961316943	7512.315882295306	8367.72747382392	5634.269949484312	6863.327559564453	1640.9371223940936	1743.718592964824	817.374182444062	472.26070873378796	1636.7667078116733	2045.5140948346093	2058.1825800031424	7896.635686471388	7973.817642401348	4442.272464984525	1817.2923036211598	5991.204762543913	3696.6815797273393	3887.083653241011	1359.1528788881535	2225.8166233766233	1210.7492260061917	2091.9764101013157	4580.533578656854	1583.988938817836	632.6734397677795	1845.0908067013938	8144.652043916797	5886.281241332393	8257.278429397751	7296.063664363606	6987.675243770368	7320.609303089446	4856.286874644199	629.989121476842	617.005643919959	0.0	706.547210407123	0.0	188.02071734414338	0.0	0.0	0.0	0.0
PWY-6350	7585.182314406772	1744.7272284461765	5764.2451859338835	3981.4887638206496	3539.6935797665365	3709.962962085418	1936.3214338181283	2582.8112168499347	2087.279706644922	3933.083703463726	2507.0642874602786	3553.692307755436	3396.3803157768466	1097.842790903069	3790.353757880845	1416.167357215321	3896.9590175143785	1685.2545142566569	909.0919951526879	4136.870630812052	2410.5984069136425	5587.366139513044	1953.1712086032019	2709.8560814197763	3347.344829848404	2799.8454350009365	1601.0575609756097	700.9443911792905	6535.005112622935	5802.30908529561	4825.368315154706	720.2249225435978	5659.828773076521	7553.910621863753	8399.686167693037	5649.450570308884	6890.81454755376	1806.861418148986	1825.88868101029	928.1081926203877	546.7125644382995	1850.4992025518343	2194.329464410572	2212.861519055771	8001.792093787167	8053.164861757774	4530.249079859625	1884.9827924799365	6103.98096376267	3779.577103625287	3935.1642017337276	1393.143994211288	2266.795577187599	1252.3654995730144	2171.3711702661976	4644.626865671642	1600.4749930148087	651.2629482071713	1852.5500395793283	8185.2939012049965	5967.125444305219	8382.002470298512	7357.135297751754	7072.23850125334	7484.55589096767	4927.758787951013	660.0828958275767	682.9532030895048	0.0	746.7746216601862	0.0	226.11671258469033	0.0	0.0	0.0	0.0
PWY-6353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.402298660325096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.281856974935344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.210994912269987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	261.6969097802076
PWY-6383	0.0	0.0	0.0	0.0	9.988678814436927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.989989379097391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6385	0.0	31.697222440789997	5.402018781700397	0.0	7.677284658158757	0.0	69.45796460176992	19.81013220695172	7.102263511979292	0.0	0.0	0.0	24.110311997610317	0.0	0.0	0.0	0.0	0.0	4.969485701529901	0.0	7.495460964292919	0.0	32.62097533421201	0.0	0.0	39.84644913627639	0.0	13.712956159686502	0.0	0.0	0.0	0.0	56.49399533966661	4.44348343153684	0.0	0.0	0.0	0.0	0.0	2.4983164983164983	0.0	0.0	0.0	0.0	21.234664855456973	0.0	0.0	0.0	0.0	9.989832231825114	4.442464074857971	84.44542642509941	0.0	2.8486280957763848	0.0	0.0	0.0	0.0	19.438848316964666	0.0	0.0	0.0	0.0	0.0	0.0	17.635650562427273	0.0	6.238003838771594	4.981684981684981	5.624928834402398	0.0	0.0	0.0	0.0	0.0	1206.5
