Source,Target,correlation,module1,module2,adj_pvalue,edge_id,edge_id2
bact_ASV_1,bact_ASV_104,0.00202783773968685,turquoise,turquoise,1.7018666465138434e-4,bact_ASV_1 bact_ASV_104,bact_ASV_104 bact_ASV_1
bact_ASV_1,bact_ASV_143,0.10078950327303722,turquoise,turquoise,8.263018468636964e-26,bact_ASV_1 bact_ASV_143,bact_ASV_143 bact_ASV_1
bact_ASV_1,bact_ASV_150,0.07668828265695544,turquoise,turquoise,1.510571809505987e-11,bact_ASV_1 bact_ASV_150,bact_ASV_150 bact_ASV_1
bact_ASV_1,bact_ASV_140,0.03279777566704606,turquoise,turquoise,4.984258273127258e-12,bact_ASV_1 bact_ASV_140,bact_ASV_140 bact_ASV_1
bact_ASV_1,bact_ASV_148,0.1119215231178438,turquoise,turquoise,1.9468596289111664e-26,bact_ASV_1 bact_ASV_148,bact_ASV_148 bact_ASV_1
bact_ASV_1,arc_ASV_2,0.00452253250792017,turquoise,grey,6.146527944597963e-6,bact_ASV_1 arc_ASV_2,arc_ASV_2 bact_ASV_1
bact_ASV_1,arc_ASV_6,0.01366721224682112,turquoise,turquoise,5.920939592252442e-9,bact_ASV_1 arc_ASV_6,arc_ASV_6 bact_ASV_1
bact_ASV_1,fun_ASV_1,0.05906231423894081,turquoise,grey,4.734854069332946e-12,bact_ASV_1 fun_ASV_1,fun_ASV_1 bact_ASV_1
bact_ASV_1,fun_ASV_4,0.00730526484728991,turquoise,grey,2.262548879893227e-6,bact_ASV_1 fun_ASV_4,fun_ASV_4 bact_ASV_1
bact_ASV_1,fun_ASV_22,0.02883848299627827,turquoise,blue,9.262523813470665e-8,bact_ASV_1 fun_ASV_22,fun_ASV_22 bact_ASV_1
bact_ASV_1,fun_ASV_24,0.02883848299627827,turquoise,blue,9.261543237161804e-8,bact_ASV_1 fun_ASV_24,fun_ASV_24 bact_ASV_1
bact_ASV_1,fun_ASV_15,0.0781258864271801,turquoise,grey,1.4771517996810141e-22,bact_ASV_1 fun_ASV_15,fun_ASV_15 bact_ASV_1
bact_ASV_1,fun_ASV_30,0.00190620930700949,turquoise,turquoise,5.87177858310476e-5,bact_ASV_1 fun_ASV_30,fun_ASV_30 bact_ASV_1
bact_ASV_1,fun_ASV_27,0.03016430807992245,turquoise,turquoise,1.1194116119870842e-8,bact_ASV_1 fun_ASV_27,fun_ASV_27 bact_ASV_1
bact_ASV_1,fun_ASV_14,0.01456991879975704,turquoise,turquoise,3.815960924552108e-7,bact_ASV_1 fun_ASV_14,fun_ASV_14 bact_ASV_1
bact_ASV_1,fun_ASV_12,0.01122861181615376,turquoise,turquoise,7.213178630697095e-7,bact_ASV_1 fun_ASV_12,fun_ASV_12 bact_ASV_1
bact_ASV_1,fun_ASV_34,0.02883848299627827,turquoise,blue,9.260562868448228e-8,bact_ASV_1 fun_ASV_34,fun_ASV_34 bact_ASV_1
bact_ASV_1,fun_ASV_7,0.06887223544978249,turquoise,turquoise,5.217135682737711e-26,bact_ASV_1 fun_ASV_7,fun_ASV_7 bact_ASV_1
bact_ASV_1,fun_ASV_40,0.00883696680345863,turquoise,grey,6.92099147803577e-4,bact_ASV_1 fun_ASV_40,fun_ASV_40 bact_ASV_1
bact_ASV_1,fun_ASV_45,0.00210928185630767,turquoise,grey,7.499232037206656e-7,bact_ASV_1 fun_ASV_45,fun_ASV_45 bact_ASV_1
bact_ASV_1,fun_ASV_13,0.00613697669433534,turquoise,turquoise,1.174878503965562e-9,bact_ASV_1 fun_ASV_13,fun_ASV_13 bact_ASV_1
bact_ASV_1,fun_ASV_64,0.02883848299627827,turquoise,blue,9.259582707264017e-8,bact_ASV_1 fun_ASV_64,fun_ASV_64 bact_ASV_1
bact_ASV_1,fun_ASV_39,0.00306637639196099,turquoise,turquoise,7.948773598373246e-5,bact_ASV_1 fun_ASV_39,fun_ASV_39 bact_ASV_1
bact_ASV_1,fun_ASV_17,0.0164790080526506,turquoise,turquoise,3.9502961049185e-8,bact_ASV_1 fun_ASV_17,fun_ASV_17 bact_ASV_1
bact_ASV_1,fun_ASV_19,0.01670076999222982,turquoise,turquoise,1.35188961984028e-8,bact_ASV_1 fun_ASV_19,fun_ASV_19 bact_ASV_1
bact_ASV_1,fun_ASV_31,0.02883848299627827,turquoise,blue,9.211807667498306e-8,bact_ASV_1 fun_ASV_31,fun_ASV_31 bact_ASV_1
bact_ASV_1,fun_ASV_82,0.02883848299627827,turquoise,blue,9.210837799350539e-8,bact_ASV_1 fun_ASV_82,fun_ASV_82 bact_ASV_1
bact_ASV_1,fun_ASV_37,0.03368688480436593,turquoise,turquoise,2.5034306380136425e-11,bact_ASV_1 fun_ASV_37,fun_ASV_37 bact_ASV_1
bact_ASV_1,fun_ASV_51,0.02883848299627827,turquoise,blue,9.258602753543276e-8,bact_ASV_1 fun_ASV_51,fun_ASV_51 bact_ASV_1
bact_ASV_1,fun_ASV_60,0.02883848299627827,turquoise,blue,9.25762300722015e-8,bact_ASV_1 fun_ASV_60,fun_ASV_60 bact_ASV_1
bact_ASV_1,fun_ASV_21,0.04570106201953224,turquoise,turquoise,1.6117410983317865e-12,bact_ASV_1 fun_ASV_21,fun_ASV_21 bact_ASV_1
bact_ASV_1,fun_ASV_41,0.08419633785665341,turquoise,turquoise,3.727749132389609e-18,bact_ASV_1 fun_ASV_41,fun_ASV_41 bact_ASV_1
bact_ASV_1,fun_ASV_112,0.02883848299627827,turquoise,blue,9.256643468228805e-8,bact_ASV_1 fun_ASV_112,fun_ASV_112 bact_ASV_1
bact_ASV_1,fun_ASV_55,0.02883848299627827,turquoise,blue,9.25566413650343e-8,bact_ASV_1 fun_ASV_55,fun_ASV_55 bact_ASV_1
bact_ASV_1,fun_ASV_66,0.02883848299627827,turquoise,blue,9.254685011978253e-8,bact_ASV_1 fun_ASV_66,fun_ASV_66 bact_ASV_1
bact_ASV_1,fun_ASV_33,0.01116226902857368,turquoise,turquoise,1.6304759662638199e-7,bact_ASV_1 fun_ASV_33,fun_ASV_33 bact_ASV_1
bact_ASV_1,fun_ASV_52,0.07038452744677988,turquoise,turquoise,8.301320196354221e-27,bact_ASV_1 fun_ASV_52,fun_ASV_52 bact_ASV_1
bact_ASV_1,fun_ASV_91,0.02883848299627827,turquoise,blue,9.25370609458752e-8,bact_ASV_1 fun_ASV_91,fun_ASV_91 bact_ASV_1
bact_ASV_1,fun_ASV_92,0.02883848299627827,turquoise,blue,9.252727384265513e-8,bact_ASV_1 fun_ASV_92,fun_ASV_92 bact_ASV_1
bact_ASV_1,fun_ASV_65,0.0152959943901255,turquoise,turquoise,9.686230813525125e-9,bact_ASV_1 fun_ASV_65,fun_ASV_65 bact_ASV_1
bact_ASV_1,fun_ASV_101,0.05200319606375438,turquoise,grey,2.0774038696684304e-16,bact_ASV_1 fun_ASV_101,fun_ASV_101 bact_ASV_1
bact_ASV_1,fun_ASV_109,0.02883848299627827,turquoise,blue,9.251748880946533e-8,bact_ASV_1 fun_ASV_109,fun_ASV_109 bact_ASV_1
bact_ASV_1,fun_ASV_135,0.02883848299627827,turquoise,blue,9.250770584564917e-8,bact_ASV_1 fun_ASV_135,fun_ASV_135 bact_ASV_1
bact_ASV_1,fun_ASV_83,0.02883848299627827,turquoise,blue,9.249792495055025e-8,bact_ASV_1 fun_ASV_83,fun_ASV_83 bact_ASV_1
bact_ASV_1,fun_ASV_54,0.04956597751021466,turquoise,grey,8.968336059797024e-13,bact_ASV_1 fun_ASV_54,fun_ASV_54 bact_ASV_1
bact_ASV_1,fun_ASV_81,0.02883848299627827,turquoise,blue,9.248814612351245e-8,bact_ASV_1 fun_ASV_81,fun_ASV_81 bact_ASV_1
bact_ASV_1,fun_ASV_70,0.02883848299627827,turquoise,blue,9.247836936387993e-8,bact_ASV_1 fun_ASV_70,fun_ASV_70 bact_ASV_1
bact_ASV_1,fun_ASV_113,0.00175075699914014,turquoise,grey,3.370160202499307e-5,bact_ASV_1 fun_ASV_113,fun_ASV_113 bact_ASV_1
bact_ASV_1,fun_ASV_115,0.02883848299627827,turquoise,blue,9.246859467099716e-8,bact_ASV_1 fun_ASV_115,fun_ASV_115 bact_ASV_1
bact_ASV_1,fun_ASV_108,0.07731775022041687,turquoise,grey,5.982640018415544e-14,bact_ASV_1 fun_ASV_108,fun_ASV_108 bact_ASV_1
bact_ASV_1,fun_ASV_138,0.02883848299627827,turquoise,blue,9.245882204420884e-8,bact_ASV_1 fun_ASV_138,fun_ASV_138 bact_ASV_1
bact_ASV_1,fun_ASV_116,0.01014775108545588,turquoise,grey,2.2567929214583848e-4,bact_ASV_1 fun_ASV_116,fun_ASV_116 bact_ASV_1
bact_ASV_1,fun_ASV_18,0.04385380936349382,turquoise,grey,5.3820834829173344e-17,bact_ASV_1 fun_ASV_18,fun_ASV_18 bact_ASV_1
bact_ASV_1,fun_ASV_169,0.02883848299627827,turquoise,blue,9.244905148286e-8,bact_ASV_1 fun_ASV_169,fun_ASV_169 bact_ASV_1
bact_ASV_1,fun_ASV_176,0.02883848299627827,turquoise,blue,9.243928298629589e-8,bact_ASV_1 fun_ASV_176,fun_ASV_176 bact_ASV_1
bact_ASV_1,fun_ASV_104,0.00616250232534766,turquoise,turquoise,1.4886097554985481e-7,bact_ASV_1 fun_ASV_104,fun_ASV_104 bact_ASV_1
bact_ASV_1,fun_ASV_167,0.02883848299627827,turquoise,blue,9.242951655386205e-8,bact_ASV_1 fun_ASV_167,fun_ASV_167 bact_ASV_1
bact_ASV_1,fun_ASV_72,0.02883848299627827,turquoise,blue,9.24197521849043e-8,bact_ASV_1 fun_ASV_72,fun_ASV_72 bact_ASV_1
bact_ASV_1,fun_ASV_69,0.01057364051146566,turquoise,turquoise,3.707026336546217e-7,bact_ASV_1 fun_ASV_69,fun_ASV_69 bact_ASV_1
bact_ASV_1,fun_ASV_141,0.02883848299627827,turquoise,blue,9.24099898787688e-8,bact_ASV_1 fun_ASV_141,fun_ASV_141 bact_ASV_1
bact_ASV_1,fun_ASV_129,0.02883848299627827,turquoise,blue,9.209868135407035e-8,bact_ASV_1 fun_ASV_129,fun_ASV_129 bact_ASV_1
bact_ASV_1,fun_ASV_118,0.00177030510207386,turquoise,grey,3.561332024086013e-5,bact_ASV_1 fun_ASV_118,fun_ASV_118 bact_ASV_1
bact_ASV_1,fun_ASV_130,0.02883848299627827,turquoise,blue,9.208898675603306e-8,bact_ASV_1 fun_ASV_130,fun_ASV_130 bact_ASV_1
bact_ASV_1,fun_ASV_128,0.02883848299627827,turquoise,blue,9.207929419874898e-8,bact_ASV_1 fun_ASV_128,fun_ASV_128 bact_ASV_1
bact_ASV_1,fun_ASV_133,0.0018988397950836,turquoise,turquoise,3.0968036324273044e-4,bact_ASV_1 fun_ASV_133,fun_ASV_133 bact_ASV_1
bact_ASV_1,fun_ASV_165,0.02883848299627827,turquoise,blue,9.240022963480188e-8,bact_ASV_1 fun_ASV_165,fun_ASV_165 bact_ASV_1
bact_ASV_1,fun_ASV_152,0.02883848299627827,turquoise,blue,9.239047145235021e-8,bact_ASV_1 fun_ASV_152,fun_ASV_152 bact_ASV_1
bact_ASV_1,fun_ASV_156,0.02883848299627827,turquoise,blue,9.238071533076075e-8,bact_ASV_1 fun_ASV_156,fun_ASV_156 bact_ASV_1
bact_ASV_1,fun_ASV_122,0.07946557972122809,turquoise,grey,5.752855705935576e-23,bact_ASV_1 fun_ASV_122,fun_ASV_122 bact_ASV_1
bact_ASV_1,fun_ASV_139,0.00475871682321691,turquoise,turquoise,1.0228067975200026e-6,bact_ASV_1 fun_ASV_139,fun_ASV_139 bact_ASV_1
bact_ASV_1,fun_ASV_157,0.02883848299627827,turquoise,blue,9.20696036815738e-8,bact_ASV_1 fun_ASV_157,fun_ASV_157 bact_ASV_1
bact_ASV_1,fun_ASV_181,0.02883848299627827,turquoise,blue,9.205991520386345e-8,bact_ASV_1 fun_ASV_181,fun_ASV_181 bact_ASV_1
bact_ASV_1,fun_ASV_199,0.02883848299627827,turquoise,blue,9.205022876497413e-8,bact_ASV_1 fun_ASV_199,fun_ASV_199 bact_ASV_1
bact_ASV_5,bact_ASV_3,0.00836205802734336,turquoise,turquoise,2.5406550778145137e-8,bact_ASV_5 bact_ASV_3,bact_ASV_3 bact_ASV_5
bact_ASV_5,bact_ASV_10,0.02744538849203962,turquoise,turquoise,2.0178527849974647e-6,bact_ASV_5 bact_ASV_10,bact_ASV_10 bact_ASV_5
bact_ASV_5,bact_ASV_19,0.00452799752422428,turquoise,turquoise,1.1441958778347849e-7,bact_ASV_5 bact_ASV_19,bact_ASV_19 bact_ASV_5
